index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos
0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.999,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,1.9906384505747,0.0,0.0,0.0,1.0,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.989000000000001,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,7.149121273736085e-06,0.00047075426984560516,1.9875607649867075,-0.0004578867111613012,9.877012367574628e-05,-8.444549964163247e-05,0.9999998867265836,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9790000000000023,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,7.269730462557353e-05,0.0004523469415015509,1.9869969961327894,-0.0004423076424466836,0.00032085356564164383,-4.868062944441838e-05,0.9999998495235563,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9690000000000034,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.00014929327505047287,0.0004452575783204971,1.9867516770062996,-0.0004361372151084301,0.0006051352098870221,-3.3257586599078106e-05,0.9999997212447813,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9590000000000045,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0002519252479631648,0.000441916812188275,1.9866442494422183,-0.00043319213914101885,0.0009985172410940028,-2.662690829128938e-05,0.9999994072992732,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9490000000000056,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0003991812427695881,0.0004404075797750405,1.9865957693400222,-0.0004319462050231173,0.0015686833771909956,-2.4468556078480985e-05,0.9999986760272375,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9390000000000067,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.000616826237659923,0.0004388718788548187,1.9865691942378905,-0.0004308983624663625,0.0024151518160478625,-2.358955254008294e-05,0.999996990401391,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.929000000000008,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0009359266384554615,0.00043791579557613095,1.9865453565306086,-0.0004305521370111684,0.0036580894792976426,-2.3821015259883832e-05,0.9999932161963789,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.919000000000009,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0012860111609954488,0.00044193577251004266,1.9865177854328127,-0.00043316771562357936,0.005023241448164119,-2.612476438283477e-05,0.999987289283509,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.90900000000001,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
