index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,box_pos_x,box_pos_y,box_pos_z
0,0.0,-0.4,1.4,-0.0007956920697244818,0.0007969603417828076,-0.0007956920697244819,0.9999990493007851,0.5,-0.3499,2.9999,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
40,-0.004126040902986924,-0.3991854761323453,1.3369645935338106,-0.0024953109444992073,-0.007886082957688504,-0.0008386357027269586,0.9999654393072956,0.5,-0.34590000000000043,2.9958999999999913,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
80,-0.009383704852344951,-0.3942638031462663,1.3373895946998342,-0.012997650143858846,-0.018860059552583762,-0.0008840772728202987,0.999737254308244,0.5,-0.34190000000000087,2.991899999999983,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
120,0.003027870910423894,-0.39044477194896526,1.3363602179801184,-0.02109870511754272,0.0073159000241554825,-0.0019187747384587302,0.9997487887227984,0.5,-0.3379000000000013,2.9878999999999745,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
160,0.0004474173157748538,-0.3856241007693948,1.3358858780428389,-0.03111461974275424,0.0017499980025397985,-0.002689116913643144,0.999510673577566,0.5,-0.33390000000000175,2.983899999999966,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
200,0.0009158138433324706,-0.3840862764082339,1.3369031016544142,-0.03459953177132779,0.0031990443636442994,-0.0036480453548239427,0.9993894787726422,0.5,-0.3299000000000022,2.9798999999999576,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
240,-0.0006241149345317029,-0.38572896503962667,1.335627250190994,-0.03119279270853393,0.0002718482836917792,-0.004407851380308259,0.9995036301223533,0.5,-0.32590000000000263,2.975899999999949,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
280,-0.002206151823412205,-0.39001591696490334,1.3346504860828268,-0.021931339094449793,-0.002900940218630731,-0.005186978671884208,0.9997418147520036,0.5,-0.3219000000000031,2.9718999999999407,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
320,-0.005777165731213223,-0.3940409258637687,1.3348910870405928,-0.013312062489655585,-0.010495753995790842,-0.005894648178815836,0.9998389276594402,0.5,-0.3179000000000035,2.9678999999999323,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
360,-0.008084137163181652,-0.396357329688102,1.335828218261984,-0.008361999062049874,-0.015382352415471673,-0.006029799019549721,0.9998285361648948,0.5,-0.31390000000000395,2.963899999999924,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
400,-0.006091621975955038,-0.39432068275542514,1.3349733648287803,-0.012723439191841183,-0.011201692773488522,-0.006116227298654319,0.9998376007821326,0.5,-0.3099000000000044,2.9598999999999154,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
440,-0.003653263174729008,-0.391543119900722,1.3347100343052893,-0.0186755091250743,-0.006050786182172355,-0.00614178162666386,0.9997884235496765,0.5,-0.30590000000000483,2.955899999999907,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
480,-0.0008768210791922496,-0.388249900170772,1.33440585058291,-0.02574560714491737,-0.00016717856061512575,-0.00600842360874948,0.9996504562144741,0.5,-0.3019000000000053,2.9518999999998985,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
520,-0.0008061752502369364,-0.3864729128911535,1.3352161119609343,-0.029550030018667583,-0.0001640712423383794,-0.005747324887048556,0.9995467658209725,0.5,-0.2979000000000057,2.94789999999989,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
560,-0.0007967621790982144,-0.38802028173031716,1.3345186388633874,-0.026268993635255672,-0.00014405904622970088,-0.005708821646401773,0.9996385989825481,0.5,-0.29390000000000616,2.9438999999998816,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
600,-0.0028827623264461844,-0.3907288000399048,1.3346406375907514,-0.02048793674247356,-0.004540950695580819,-0.0057748656366879226,0.9997631095122959,0.5,-0.2899000000000066,2.939899999999873,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
