index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,box_pos_x,box_pos_y,box_pos_z,box_eul_x,box_eul_y,box_eul_z
0,0.0,1.5,3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.0008,0,0
7,-1.5733206447944562e-37,1.5,3.49523306649397,-5.659788972938302e-20,8.159231525923356e-20,-2.9348653749933304e-38,1.0,6.295984583671217e-39,-2.4285376478965545e-20,6.463711902822772e-39,-1.9259299443872357e-35,5.6837903275565026e-39,-5.613641371155636e-19,-2.3736229361528394e-38,4.624940229997657e-19,6.331645907089758e-38,6.527224489485013e-19,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.006400000000000001,0,0
14,-7.453261490164116e-37,1.5,3.4821337847569267,-5.892378078831101e-19,1.1854201961393678e-19,-1.1102818266834147e-37,1.0,3.400267656942789e-37,4.054696084725805e-20,-5.857322919591516e-37,-3.851859888774472e-35,-7.14286320118941e-38,-1.920066071328289e-18,-9.021495459972302e-37,6.295741163669261e-19,5.549116985068534e-37,6.131092929480276e-19,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.012000000000000004,0,0
21,-8.82322002850128e-37,1.5,3.460720191662751,-1.4341435968574777e-18,-6.312985284725261e-20,5.284068655691458e-37,1.0,-2.762639325570858e-37,1.6319157006309719e-19,-3.1417832026844554e-36,-3.851859888774472e-35,-3.4253917355147637e-37,-2.9821809119815505e-18,-5.408136180188045e-36,8.069675678987628e-19,-6.8231932325032445e-37,3.786386637796001e-19,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.0176,0,0
28,6.724286083677699e-37,1.5,3.431015803502045,-2.457627844726353e-18,-4.2553824548510346e-19,2.7267499143121517e-36,1.0,-2.9206494418173706e-36,2.3720522225829135e-19,-1.0697489500243726e-35,6.419766481290783e-36,-5.981799776201739e-37,-3.9837830577219695e-18,-9.386357287429327e-36,1.030981303530453e-18,-4.2634110059409284e-36,4.71556540777729e-19,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.02319999999999999,0,0
35,6.467844198098054e-36,1.5,3.393049554482896,-3.654776433067703e-18,-1.0314638192299437e-18,5.146813857916393e-36,1.0,-3.941299758194804e-36,1.2834077102906682e-19,-1.8837342271614754e-35,-5.135813185032629e-35,-1.5184805125855431e-37,-4.761744144505272e-18,-1.9571447002116052e-35,1.0839705661119587e-18,-7.888942837128723e-36,9.021328759406297e-19,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.028799999999999982,0,0
42,2.8578271476195486e-35,1.5,3.3468557212278505,-5.166949872795913e-18,-1.7923258765518173e-18,1.3543366718561384e-35,1.0,-2.195145436341247e-35,2.2132185078427414e-19,-4.7187191106682217e-35,-4.4938365369035504e-35,-6.104288791807867e-37,-5.233073037701227e-18,-5.063000633683578e-35,1.2181289745331872e-18,-3.268818475012256e-35,6.814340031360312e-19,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.034399999999999986,0,0
49,6.790248188875878e-35,1.5,3.2924738336845767,-6.849034177122064e-18,-2.747818290125135e-18,2.3822564359581407e-35,1.0,-3.906221049834394e-35,1.8540145854793715e-19,-7.761645844778713e-35,-4.4938365369035504e-35,-4.180360171081478e-37,-5.272827276655219e-18,-7.425560577994528e-35,1.1668081382556093e-18,-6.57777800701891e-35,8.356342795610152e-19,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.04,0,0
56,1.2612053553033354e-34,1.5,3.229948572939697,-8.714495045145763e-18,-3.766654450769683e-18,2.8393648189237896e-35,1.0,-5.13054091868776e-35,2.800402018747451e-19,-1.1216216287855772e-34,-1.9259299443872365e-35,-9.434808335594337e-37,-5.880350763598001e-18,-9.61152782296191e-35,1.4705936581507524e-18,-8.954179202585095e-35,8.718928032082837e-19,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.045600000000000016,0,0
63,2.2340189672644024e-34,1.5,3.1593296564927047,-1.0769633033398993e-17,-5.059901013623886e-18,4.2359208842544076e-35,1.0,-8.585894671446994e-35,3.080542186364315e-19,-1.7512365668900495e-34,-8.018294130276587e-51,-1.1083429644045193e-36,-6.447462210234599e-18,-1.4041268107820926e-34,1.7126562215478478e-18,-1.3565110123070985e-34,9.87087801323035e-19,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.05120000000000003,0,0
