index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos
0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,4.9998296875,1.5448001459803537e-21,1.1954940226970391e-20,0.0,1.0,0.0,-2.405355376693285e-21,0.0,-2.5679065925163144e-35,0.0,-4.126211818187773e-20,0.0,3.770482698349356e-20,0.0,3.6581464938045597e-20
2,-1.178244570995799e-39,1.3604090710843189e-40,4.99948909204567,9.948466217819413e-21,3.2721434189994473e-20,-1.877431030460666e-40,1.0,-9.291205264115332e-40,-5.866677088546813e-21,-2.3176181103824736e-40,-2.5679065925163144e-35,1.0821580541435402e-40,-1.25203281410273e-19,-1.3877243996117174e-39,1.0491554318975934e-19,-4.139400759141625e-39,1.089602229161108e-19
3,-9.743205646905036e-39,-5.8696869923605175e-40,4.998978245497458,1.3639522452274333e-20,5.558793771354258e-20,-1.8893151265755547e-39,1.0,-1.4104075627234695e-39,-7.52350078416426e-21,3.186969908874933e-39,-2.5679065925163144e-35,2.684452878435809e-40,-2.4026330280336647e-19,5.11735911866662e-39,2.0274427121607884e-19,-9.858312359417684e-39,2.0092930941443939e-19
4,-3.010530639317917e-38,1.969440522561543e-39,4.998297182028903,1.2799451206214732e-20,6.98509382922534e-20,-2.519958626407746e-39,1.0,-1.6508841507718248e-38,-2.5381294437775778e-21,-5.92129536167204e-39,-3.209883240645393e-35,-6.634539400896817e-40,-3.495129171561905e-19,2.6856095851900167e-40,3.123578779911783e-19,-2.8099794273075737e-38,3.525256308862599e-19
5,-6.434550936538552e-38,9.689307102662736e-40,4.997445938124821,5.281346985689081e-21,7.412809232348609e-20,-7.516679074203902e-39,1.0,-2.098311598666701e-38,-8.372681585890929e-21,-1.767704048403013e-39,-3.209883240645393e-35,8.35739904415139e-40,-4.172529097259576e-19,1.6501123353491728e-38,3.9695568324936274e-19,-2.2857075457303763e-38,5.064261938140703e-19
6,-1.0481822737848332e-37,1.5147082281714437e-38,4.996424552579367,-1.8464548675904202e-20,7.542875769027295e-20,-1.2065514626152124e-38,1.0,-2.3568348691733285e-38,-1.6812663943651245e-20,-1.3406053480907493e-38,-3.209883240645393e-35,3.249189887526969e-39,-4.808690182872329e-19,-1.1715750166568831e-38,4.367068599494551e-19,-8.559729767668882e-39,6.1898609122632615e-19
7,-1.5733206447944562e-37,3.014603822891464e-38,4.99523306649397,-5.659788972938302e-20,8.159231525923356e-20,-2.9348653749933304e-38,1.0,6.295984583671217e-39,-2.4285376478965545e-20,6.463711902822772e-39,-1.9259299443872357e-35,5.6837903275565026e-39,-5.613641371155636e-19,-2.3736229361528394e-38,4.624940229997657e-19,6.331645907089758e-38,6.527224489485013e-19
8,-2.065367236214828e-37,7.68169070018522e-38,4.993871523275145,-1.1567999310738603e-19,8.760245724487837e-20,-4.162013901946577e-38,1.0,4.5306832826715133e-38,-1.8294167080527306e-20,-2.0291174003187036e-38,-1.9259299443872357e-35,3.276681815407247e-39,-6.652298892002443e-19,-5.194076519797077e-38,4.513741723888322e-19,1.5465467680893392e-37,6.148132949206039e-19
9,-2.6702488142635414e-37,1.6360962676963587e-37,4.992339968632181,-1.7550890673680955e-19,9.68944381013838e-20,-3.4894673425063323e-38,1.0,1.7410168124107257e-38,-1.6284481156303934e-20,-1.1823097290145587e-37,-1.9259299443872357e-35,2.2262491435699886e-39,-8.578189294107996e-19,-1.98098874426478e-37,4.414911034725338e-19,1.4049909394351207e-37,5.838990257562731e-19
