index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos
0,0.7,-0.9,3.8,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.7,-0.9,3.7938715232751448,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,2.6310267525111175e-19,6.672376231347679e-19,-8.987673073807101e-35,-8.455266809308626e-19,2.1175390490375445e-19,6.762001774049117e-20,6.260330737774373e-19,-3.807533391356607e-22,-1.8308642298375474e-19
16,0.7,-0.9,3.776863088234715,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,4.58058946982684e-19,1.3248933333512713e-18,-1.0271626370065258e-34,-1.4864016043405064e-18,5.25906539716885e-19,2.0583088861476681e-19,1.3757117022966612e-18,-4.5031624765119225e-21,-2.4498240239776197e-19
24,0.7,-0.9,3.749003375198647,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,7.482156683823464e-19,1.3360922346513332e-18,-2.0543252740130515e-34,-2.4273092363258256e-18,8.540476778725707e-19,3.780515993435259e-19,2.4844643431992844e-18,-1.0424929058457522e-20,-6.239194556718584e-23
32,0.7,-0.9,3.7103303833870687,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,9.492689539121986e-19,1.8978066009453157e-18,-2.0543252740130515e-34,-3.0748986757858183e-18,1.0299982686591263e-18,7.004031407298494e-19,3.255996992028063e-18,-1.8089528114174494e-20,-3.8122860733716546e-20
40,0.7,-0.9,3.660891301228147,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.131312529581066e-18,1.8658924077088073e-18,-2.0543252740130515e-34,-3.724789460954353e-18,1.899451317269346e-18,1.4973527510063018e-18,3.831582229588258e-18,-4.2667477099977417e-20,-1.4673650827464378e-19
48,0.7,-0.9,3.6007423458539796,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.2107732931007896e-18,2.426253872069961e-18,-2.5679065925163143e-34,-4.065798149332434e-18,2.902026822048438e-18,1.863180495537992e-18,4.611555822876113e-18,-5.882754525823287e-20,-2.0516729076940592e-19
56,0.7,-0.9,3.5299485729396967,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.3304232398470097e-18,3.2310455756026447e-18,-2.69630192214213e-34,-4.508477751328111e-18,3.635548625784725e-18,1.965524370697303e-18,5.461943782161737e-18,-6.711597523701261e-20,-5.2339547094983983e-20
64,0.7,-0.9,3.4485836582429434,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.4025073305215598e-18,3.963092885234078e-18,-2.5679065925163143e-34,-4.770489913831549e-18,4.010806349030515e-18,2.4487866421694288e-18,6.459657989677079e-18,-8.27579151769064e-20,1.452151296178392e-19
72,0.7,-0.9,3.3567296523863757,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.4716933918848643e-18,4.613240392137947e-18,-2.9530925813937614e-34,-5.043434845972776e-18,4.620663592872963e-18,2.7605410927170244e-18,7.324700908202734e-18,-9.513126131025148e-20,1.9990970954412207e-19
80,0.7,-0.9,3.2544767105928303,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.478161864440212e-18,5.652419135646034e-18,-3.01729024620667e-34,-5.110798255605238e-18,5.136564305503506e-18,3.1799162859733724e-18,8.565309156726263e-18,-1.0985173589664598e-19,2.51280332490245e-19
