index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos
0,0.0,0.0,3.8,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,0.0,0.0
8,-1.8623934579607302e-18,-1.5856510286969952e-18,3.7938715232751448,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,6.419766481290786e-36,3.5118046738964206e-20
16,-6.760674702787632e-18,-5.814846375178759e-18,3.776863088234715,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,2.808647835564719e-35,8.884957473972775e-20
24,-1.478918833788469e-17,-1.2785640919883383e-17,3.749003375198647,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,4.0926011318228766e-35,1.9034607298263604e-19
32,-2.5545021579189607e-17,-2.207781479134184e-17,3.7103303833870687,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,6.66050772433919e-35,2.603800971588503e-19
40,-3.8906477418803206e-17,-3.362300385990375e-17,3.660891301228147,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,4.172848212839011e-35,3.4248414880903045e-19
48,-5.501193852674477e-17,-4.749767151548726e-17,3.6007423458539796,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,4.172848212839011e-35,3.835745072600037e-19
56,-7.369990707681622e-17,-6.345872250842155e-17,3.5299485729396967,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,6.740754805355325e-35,5.398566513210517e-19
64,-9.473410928474485e-17,-8.151942238867379e-17,3.4485836582429434,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,9.308661397871639e-35,7.258787246423899e-19
72,-1.1827562379853732e-16,-1.0175190335822289e-16,3.3567296523863757,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,9.629649721936178e-35,7.866572227986972e-19
80,-1.443631283958178e-16,-1.2416286492194057e-16,3.2544767105928303,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,9.308661397871639e-35,8.195572086770171e-19
88,-1.730674749312397e-16,-1.4894496083856896e-16,3.1419227992297096,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.0913603018194336e-34,8.602125810157202e-19
96,-2.039504752624291e-16,-1.7561675209344986e-16,3.019173381144556,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.1876567990387953e-34,9.809805430175224e-19
104,-2.375903801270979e-16,-2.046387848884444e-16,2.886341081876897,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.2197556314452493e-34,9.996027435814048e-19
