index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos
0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.999,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.011562147748030556,0.00037997630133543606,1.9824198595397093,-0.000361223565644893,0.04512539787624635,8.508153324522497e-06,0.9989812650453748,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.599000000000044,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.01746627153580864,0.0004804606405159604,1.9770762285667498,-0.00039795910444124697,0.06823360046896468,-6.151542508700251e-06,0.9976692925803377,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.199000000000088,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.009447964866957249,0.025354132986033163,2.0140264414412585,-0.08085930581622673,0.0012940458357938672,0.0018447937516343298,0.9967229779855117,0,-0.3103970746455272,1.049136729454491,0.5868921194724853,0.0,0.0,0.8096651407224433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3103970746455272,2.9508632705456206,-0.5723542486648527,-0.41476753987516995,0.5723542486648527,0.4156791021166243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020099999999999934,0.0,0.0
1600,0.006887592333604563,0.028605368075830303,1.9940720517233421,-0.37901990306407035,0.002259502456187692,0.007314526204099721,0.9253568530228555,0,-0.8099826092403073,1.4124630428831986,0.3081188070201331,0.0,0.0,0.9513478862963275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8099826092403073,2.5875369571169142,-0.6726175260677157,-0.2176051034316813,0.6726175260677157,0.2186763503755697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060100000000000695,0.0,0.0
2000,0.008042959264138509,0.021890112884268276,1.9805193577415647,-0.6461926315026654,0.002648886339787445,0.0036108489325350824,0.7631612071920361,0,-1.0007838524070896,1.9984184682933992,-7.440012148030029e-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0007838524070896,2.0015815317067167,-0.7071065009352508,0.00028154394165352814,0.7071065009352508,0.0008446320034767862,0.0,-0.0005,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.10000000000000184,0.0,0.0
2400,0.005006927586552965,0.012757147863715651,1.98761518941982,-0.6632763949466368,0.029191291534198943,0.00040904580722563185,0.7478048709968971,0,-1.0007838524070896,1.9984184682933992,-7.440012148030029e-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0007838524070896,2.0015815317067167,-0.7071065009352508,0.00028154394165352814,0.7071065009352508,0.0008446320034767862,0.0,-0.20050000000000015,0.0,0.0,0.0,-0.20050000000000015,0.0,0.0,0.0,0.10000000000000184,0.0,0.0
2800,0.0008917155632034088,-0.00112528708933573,1.9863006698809862,-0.6701951288113449,0.057167120668139566,-0.004262796286082626,0.7399677278097218,0,-1.0007838524070896,1.9984184682933992,-7.440012148030029e-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0007838524070896,2.0015815317067167,-0.7071065009352508,0.00028154394165352814,0.7071065009352508,0.0008446320034767862,0.0,-0.4005000000000003,0.0,0.0,0.0,-0.4005000000000003,0.0,0.0,0.0,0.10000000000000184,0.0,0.0
3200,0.002967156114601409,-0.0037307862525810106,1.9865488464284315,-0.6746305828192619,0.05558027531963235,-0.008840178304777346,0.7360069707332103,0,-1.0007838524070896,1.9984184682933992,-7.440012148030029e-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0007838524070896,2.0015815317067167,-0.7071065009352508,0.00028154394165352814,0.7071065009352508,0.0008446320034767862,0.0,-0.6004999999999893,0.0,0.0,0.0,-0.6004999999999893,0.0,0.0,0.0,0.10000000000000184,0.0,0.0
3600,0.004940621873730853,-0.006177700816907313,1.986782556727359,-0.6788348941428983,0.05422523153546601,-0.013417551659743057,0.7321630829715354,0,-1.0007838524070896,1.9984184682933992,-7.440012148030029e-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0007838524070896,2.0015815317067167,-0.7071065009352508,0.00028154394165352814,0.7071065009352508,0.0008446320034767862,0.0,-0.8004999999999672,0.0,0.0,0.0,-0.8004999999999672,0.0,0.0,0.0,0.10000000000000184,0.0,0.0
4000,0.0066568551433927895,-0.008288204887394563,1.9870000124126062,-0.6824922780593674,0.05311783678589487,-0.01757201573085578,0.7287482487578799,0,-1.0007838524070896,1.9984184682933992,-7.440012148030029e-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0007838524070896,2.0015815317067167,-0.7071065009352508,0.00028154394165352814,0.7071065009352508,0.0008446320034767862,0.0,-1.0004999999999453,0.0,0.0,0.0,-1.0004999999999453,0.0,0.0,0.0,0.10000000000000184,0.0,0.0
