index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,escape_energy_cost
0,0.0,0.0,3.0,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0,0.0,0.0,0.0,1.0,17.657999999999998,0.0
7,9.201987012202564e-34,1.0362044160689232e-36,2.99523306649397,-5.8285849525814625e-19,0.7071067811865475,-5.828584952581463e-19,0.7071067811865476,5.861652789881283e-19,5.986285583954397e-19,1.5994107955094046e-18,-7.703719777548944e-35,7.369722855432648e-19,-2.2057346315078232e-18,-6.348217817272889e-19,1.0033870226303885e-18,-1.1470528529183124e-18,7.876382444926487e-22,-7.562462648698278e-19,-0.5,0.5,0,0.0,0.0,0.0,1.0,17.62994182938351,0.0
14,4.7997261111188045e-33,1.7641416547744214e-36,2.9821337847569267,-6.476646002050621e-19,0.7071067811865475,-6.47664600205062e-19,0.7071067811865476,1.3214377236092537e-18,-5.214966268830038e-19,4.432378924554518e-18,-1.7975346147614202e-34,2.43358652302569e-18,-5.022702775944096e-18,-2.6647605528583016e-18,-1.041555455510371e-18,-7.36168438491247e-19,2.654127470697317e-21,-3.96635617233636e-19,-0.5,0.5,0,0.0,0.0,0.0,1.0,17.552839457079273,0.0
21,1.2223893664737415e-32,1.569674639775217e-35,2.960720191662751,3.7436178168422304e-19,0.7071067811865475,3.743617816842244e-19,0.7071067811865476,2.6665342317190594e-18,-2.4394444972569478e-18,5.3314683473446956e-18,-2.0543252740130515e-34,2.327832999373504e-18,-7.730053079102106e-18,-4.082229564022642e-18,-4.7624264845979264e-18,5.201983450272619e-19,4.367408028645459e-21,8.95254125708731e-19,-0.5,0.5,0,0.0,0.0,0.0,1.0,17.42679904812695,0.0
28,2.1742967067207127e-32,7.980294804627653e-35,2.931015803502045,2.195343606132771e-18,0.7071067811865475,2.1953436061327735e-18,0.7071067811865476,3.866122418201907e-18,-3.7310925109388614e-18,4.9259718884113336e-18,-1.0691058840368783e-50,1.0744952710052028e-18,-1.0170550688642773e-17,-8.180201239561503e-18,-8.533689364316541e-18,2.510008649652115e-18,7.866874786341504e-21,2.2478783926932586e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,17.251959019413032,0.0
35,3.3906066372838505e-32,1.7840674246819102e-34,2.893049554482896,6.183445196254196e-18,0.7071067811865475,6.183445196254199e-18,0.7071067811865476,6.657192894293011e-18,-1.2530452988721966e-17,6.150071033777045e-18,2.054325274013051e-34,2.484039337272068e-19,-1.5820431223872742e-17,-1.2216764416720032e-17,-1.182209278976276e-17,4.922479736664051e-18,1.1775009306299534e-20,4.327516601957057e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,17.02848967768633,0.0
42,4.790089161215378e-32,3.962148433638033e-34,2.8468557212278505,1.0381201448364673e-17,0.7071067811865475,1.0381201448364675e-17,0.7071067811865476,9.276077330311106e-18,-1.9104466932552652e-17,4.571313449555806e-18,9.24446373305873e-34,-2.6410110735889593e-18,-1.976572191495126e-17,-1.734613895807559e-17,-1.219228834329125e-17,5.181815881773926e-18,1.5698575295607968e-20,4.788401752309805e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,16.756592775147134,0.0
49,6.318096846236355e-32,8.074989128580824e-34,2.7924738336845767,1.468118060466859e-17,0.7071067811865475,1.4681180604668594e-17,0.7071067811865476,1.1437090951953014e-17,-2.398909452677994e-17,9.03690462449461e-19,1.3609904940336465e-33,-7.269643112790412e-18,-2.2952161393762502e-17,-2.0618362186985313e-17,-1.3046894115806588e-17,5.204644129192261e-18,1.8592778615846192e-20,4.732436173046099e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,16.43650098506742,0.0
56,8.070380031291319e-32,1.479634456322048e-33,2.729948572939697,1.967968162809622e-17,0.7071067811865475,1.967968162809622e-17,0.7071067811865476,1.4157004992676846e-17,-3.32148332861594e-17,-1.0329379380132297e-18,1.232595164407831e-33,-1.0694770812911703e-17,-2.743382471635354e-17,-2.491555160573839e-17,-1.4325514116940422e-17,6.297876226647643e-18,2.2364138408272405e-20,5.590994499166386e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,16.06847730032306,0.0
63,1.0023809754238355e-31,2.2708049111776753e-33,2.6593296564927047,2.5043843529255047e-17,0.7071067811865475,2.504384352925505e-17,0.7071067811865476,1.7914626489108125e-17,-4.549861550460168e-17,-2.6133479181706766e-18,1.6434602192104416e-33,-1.3596765373551998e-17,-3.148624009625734e-17,-2.96361006722451e-17,-1.760922472364856e-17,7.590409251420242e-18,2.723633248642973e-20,6.290454606474959e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,15.652814358116066,0.0
