index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
0,0.0,0.0,2.4,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0,0.0,0.0,0.0,1.0,28.252800000000008,28.252800000000008,0.0,0.0
3,1.7457394491580518e-34,4.379862256058172e-37,2.398978245497458,-3.4574367442389717e-19,0.7071067811865475,-3.4574367442389746e-19,0.7071067811865476,-4.390780006273229e-20,1.541041752706755e-18,-6.6336103804013e-20,5.135813185032629e-35,-4.200876292401906e-19,-9.705674452209902e-19,7.895587045718275e-19,7.794405081447584e-19,-8.97346143218292e-19,-4.474606008112577e-22,-4.749913639001375e-19,-0.5,0.5,0,0.0,0.0,0.0,1.0,28.240771905996077,28.240771905996077,2.880695194787372e-35,0.0
6,6.675058320330856e-34,9.5394678614063e-37,2.3964245525793673,-4.904290382514361e-19,0.7071067811865475,-4.904290382514364e-19,0.7071067811865476,4.119892766953189e-19,6.267507476056061e-19,1.2924450258201463e-18,-2.5679065925163144e-35,4.106233711895779e-19,-2.2862275703641474e-18,5.34651218270648e-19,3.8357254931343783e-19,-8.666506499828707e-19,5.309883226354389e-23,-6.045123036408293e-19,-0.5,0.5,0,0.0,0.0,0.0,1.0,28.21070983296431,28.21070983296431,4.5889560839685304e-35,0.0
9,1.702499754824484e-33,8.787579819277792e-37,2.39233996863218,-6.530093016817655e-19,0.7071067811865475,-6.530093016817658e-19,0.7071067811865476,1.0930992954098067e-18,-5.700261103245383e-19,2.954408081459757e-18,-1.2839532962581574e-34,1.6820067788634899e-18,-3.199466728171074e-18,-1.814925347725602e-18,1.4658206835581623e-18,-1.4582287967115695e-18,1.5855539577980734e-21,-1.0699153313098328e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,28.16262611073803,28.16262611073803,1.6013896972282087e-34,0.0
12,3.367425527573182e-33,1.2830940173800888e-36,2.3867257277408713,-9.387079790203317e-19,0.7071067811865475,-9.387079790203317e-19,0.7071067811865476,7.822817475664251e-19,1.1257693506784703e-18,3.3862487947914766e-18,-1.7975346147614202e-34,1.883506964852545e-18,-3.7559951655124496e-18,-1.942091350385228e-18,-1.1799371198822442e-18,-4.74289870044394e-19,1.9366089143838356e-21,-5.833651626052975e-19,-0.5,0.5,0,0.0,0.0,0.0,1.0,28.09653526696553,28.09653526696553,1.8365170199034859e-34,0.0
15,5.676726225207617e-33,2.1380244006311394e-36,2.3795832500967324,-4.81551358902467e-19,0.7071067811865475,-4.815513589024666e-19,0.7071067811865476,1.3943442546225837e-18,-1.009971770653311e-18,4.707559395110304e-18,-2.311115933264683e-34,2.6429673799745238e-18,-5.1715988199199396e-18,-3.1409103851899437e-18,-1.6946167706691947e-18,-4.2658341766484635e-19,3.096698984727207e-21,-2.4650938678166097e-19,-0.5,0.5,0,0.0,0.0,0.0,1.0,28.012454020138737,28.012454020138737,3.591792959449181e-34,0.0
18,8.793647684664009e-33,5.240617634527454e-36,2.3709141413149624,-1.6678234368718527e-19,0.7071067811865475,-1.6678234368718445e-19,0.7071067811865476,1.7356748162550634e-18,-9.109015494402521e-19,4.6560570085025636e-18,-2.0543252740130515e-34,2.353091912170069e-18,-5.837732825244384e-18,-4.049325505809359e-18,-2.5414502452871504e-18,-3.892742628173578e-19,3.892493059400326e-21,5.45971352092112e-20,-0.5,0.5,0,0.0,0.0,0.0,1.0,27.91040127155973,27.91040127155973,4.407393925233606e-34,0.0
21,1.2223893664737415e-32,1.569674639775217e-35,2.3607201916627507,3.7436178168422304e-19,0.7071067811865475,3.743617816842244e-19,0.7071067811865476,2.6665342317190594e-18,-2.4394444972569478e-18,5.3314683473446956e-18,-2.0543252740130515e-34,2.327832999373504e-18,-7.730053079102106e-18,-4.082229564022642e-18,-4.7624264845979264e-18,5.201983450272619e-19,4.367408028645459e-21,8.95254125708731e-19,-0.5,0.5,0,0.0,0.0,0.0,1.0,27.790398096253895,27.790398096253895,7.353789282908703e-34,0.32389757685374576
24,1.6009213705211137e-32,3.529358256419509e-35,2.349003375198647,7.44537568440877e-19,0.7071067811865475,7.4453756844087895e-19,0.7071067811865476,3.4148782129407303e-18,-2.6719707232015686e-18,5.750815785798523e-18,-1.5407439555097888e-34,2.103100858466512e-18,-9.491417505484922e-18,-6.098946173919023e-18,-5.022283540913137e-18,9.268031861021587e-19,6.066523102771304e-21,1.2211194659976226e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,27.652467732838467,27.652467732838467,1.0557667626887988e-33,0.0
27,2.0259430649281433e-32,6.699632563747642e-35,2.3357658488240904,1.738766674124895e-18,0.7071067811865475,1.7387666741248976e-18,0.7071067811865476,3.730358598331379e-18,-3.0855596696314595e-18,4.849526238071086e-18,-1.0691058840368783e-50,1.2946872821638992e-18,-9.356639577748006e-18,-8.659375000008303e-18,-6.873393576178739e-18,1.9035190163079334e-18,7.923284526967516e-21,2.035159691245443e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,27.49663557235719,27.49663557235719,1.3308535743189805e-33,0.8405446841097728
30,2.487326795658327e-32,1.074673419225126e-34,2.3210099512480715,3.2765306997598647e-18,0.7071067811865475,3.276530699759868e-18,0.7071067811865476,4.741424187289043e-18,-6.194074851248948e-18,5.2481187439436655e-18,-1.0691058840368783e-50,8.939403080346838e-19,-1.1566964502257914e-17,-8.834704146236425e-18,-1.0282556124029623e-17,3.257004220895763e-18,8.75242797128122e-21,2.8662045691682197e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,27.322929146092296,27.322929146092296,2.1279522676781804e-33,0.07291076614817271
