index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,start_energy,escape_energy_cost
8,0.1,0.1,2.29523306649397,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-8.899546314624525e-21,-0.4427999999999999,1.4671860598485786e-19,3.209883240645393e-36,2.2725701307700263e-23,-0.4427999999999999,1.493710490834158e-19,-7.085193821614873e-20,5.354125178009514e-20,-0.4427999999999999,-1.649302372925466e-20,6.813257914223724e-20,2.29523306649397,0.0
16,0.1,0.1,2.2795832500967323,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-5.139468965153192e-21,-0.4355999999999998,3.444919081643069e-19,1.1234591342258876e-35,2.8390503347227383e-23,-0.4355999999999998,2.7321189870528204e-19,5.463308949952929e-20,7.437517904368404e-20,-0.4355999999999998,-4.414505310870728e-20,-6.927519230833314e-21,2.2795832500967323,0.0
24,0.1,0.1,2.253078058719367,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,6.5275270702009796e-21,-0.4283999999999997,4.594286566180771e-19,1.2839532962581572e-35,3.236614606252483e-23,-0.4283999999999997,2.802266461143964e-19,1.4702545638992175e-19,-1.2735696264047305e-19,-0.4283999999999997,-1.1645187492360372e-19,1.1757346048616424e-19,2.253078058719367,0.0
32,0.1,0.1,2.215754333168991,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,1.4372818467409812e-21,-0.42119999999999963,4.826597801334635e-19,6.46992090692587e-36,3.3501003480541443e-23,-0.42119999999999963,2.7242034947519517e-19,1.473930587408072e-19,-1.6534557963266834e-19,-0.42119999999999963,-1.2786975811653828e-19,2.487816866243084e-19,2.215754333168991,0.0
40,0.1,0.1,2.1676581213786967,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-2.817699564247658e-21,-0.41399999999999954,6.002498222382655e-19,1.1886598875514972e-35,4.7389313561251653e-23,-0.41399999999999954,3.0372261582757024e-19,2.397909618370357e-19,-2.464019902655478e-19,-0.41399999999999954,-1.6676290747792826e-19,3.8819733593706943e-19,2.1676581213786967,0.0
48,0.09636817346049326,0.09852195579701288,2.146074233127949,0.3589530023149517,0.6068892901507835,0.7087202113079708,-0.023532822035311755,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,2.4344144441016726e-06,-0.4067555445237381,4.8436434898832066e-08,2.2728737119671985e-05,2.555037845640987e-06,-0.40675163812216,-6.913727337391702e-07,-7.310403662945726e-07,3.5695932862817324e-05,-0.4058205587951071,-6.621103099290526e-06,-7.414543452845129e-06,2.146074233127949,0.0
56,0.089066064360121,0.09530037104426384,2.1446429964688978,0.355538356239801,0.604589909403617,0.7124970421496549,-0.020285058975002927,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,2.85614376134865e-06,-0.399547800474487,-3.1333369847320717e-07,2.6918897329659188e-05,2.99772969611783e-06,-0.3995434307114176,-2.254969599986536e-07,-2.553627638330488e-07,4.235973362390391e-05,-0.39845354150870976,-3.1002738938882384e-06,-1.3337126610493207e-06,2.1446429964688978,0.0
64,0.0805854208785753,0.09155826376419642,2.1425662904541074,0.3515622566191491,0.601877922055578,0.7168501594668936,-0.016516523096598765,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,3.25695547229946e-06,-0.39234039344740185,-7.419243174738977e-08,3.050047602569815e-05,3.41191225946883e-06,-0.3923354042961836,3.155320013827833e-09,2.468560999118522e-08,4.86306490176239e-05,-0.3910891555479004,-1.9725836262335787e-06,-3.1004578220987936e-07,2.1425662904541074,0.01185668734554568
72,0.07086127398174828,0.08727324095003766,2.139849314661665,0.34697951307988906,0.5987062372581896,0.721808434300618,-0.01219192944016924,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,3.653491267945148e-06,-0.38513279200797085,-3.7262250952363403e-07,3.4505126719652894e-05,3.816349482425433e-06,-0.3851272336507778,-3.3119962234289647e-08,1.9083974523588174e-08,5.49001438209587e-05,-0.38372224838966384,-1.6925973622593042e-06,-1.3716339626279872e-07,2.139849314661665,0.0
80,0.05982176093990203,0.08241895547522578,2.1364566533302876,0.34174175535070644,0.5950223272415956,0.727398158283721,-0.007274754928125162,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,4.044803020535111e-06,-0.37792528253770497,-1.268455543894678e-07,3.806857460783511e-05,4.209598787516952e-06,-0.3779190306831364,-1.1506777842531418e-07,-1.6432775892977646e-07,6.122105293305863e-05,-0.3763540531573731,-1.6392856727751724e-06,-1.0672582717465475e-07,2.1364566533302876,0.0
88,0.04739434049126117,0.07696980081668958,2.132301606953754,0.33579566936435973,0.5907653322205779,0.7336447437093773,-0.0017264732995118535,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,4.428448348110786e-06,-0.37071777580926163,1.1848726995887808e-07,4.160303995982096e-05,4.589177134792394e-06,-0.3707108420662325,-1.676823000098374e-07,-1.6571409430813674e-07,6.758060826141217e-05,-0.3689852826493242,-1.638458504725704e-06,-1.000921653827534e-07,2.132301606953754,0.0
96,0.033670286398103835,0.07088842544847426,2.1281500633161854,0.32904876727867877,0.5860190685347962,0.7404645910297123,0.004555161598966502,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,4.697565707795935e-06,-0.36351074921429577,-1.258492796812958e-07,4.560958036722685e-05,4.848365180503894e-06,-0.3635025618446282,-1.849605810358392e-07,-9.403269490602258e-08,7.468812076550864e-05,-0.36160570215081755,-1.7149696838397196e-06,-8.76651100899678e-08,2.1281500633161854,0.0
104,0.01941479983124925,0.06473010652674659,2.1259416137567873,0.3217711324373556,0.5813284575056171,0.7472558099336487,0.011371778424170536,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,4.762758766414254e-06,-0.35630482784433914,-2.248547799201619e-07,4.891613452341367e-05,4.9200716165252215e-06,-0.35629630854449856,-1.7862662759243006e-07,-9.317846858538375e-08,8.004247076215633e-05,-0.35427119567401455,-1.3661414679972573e-06,-6.303819168342832e-08,2.1259416137567873,0.012116966564870157
112,0.0046135223461887115,0.0587612529794931,2.123829134764597,0.31413652090029826,0.5765731944279618,0.7540151176189488,0.01851486175685168,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,4.822670266199589e-06,-0.3490992028643264,7.3393990750403e-08,5.177345019875102e-05,4.982800749541132e-06,-0.3490902776404286,-1.7479478412005533e-07,-9.21478594385789e-08,8.522080668410976e-05,-0.3469408851230452,-1.2713191765578185e-06,-5.560876940419782e-08,2.123829134764597,0.0811969529185923
120,-0.010432643386622807,0.05265605113216157,2.123601412305711,0.3063667673915265,0.5718188547013225,0.7605913143906405,0.02575759537790267,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,4.890694437605602e-06,-0.3418941375746248,-1.2452009533562906e-07,5.479305468987458e-05,5.049431493427998e-06,-0.3418850854274318,-1.7462227598644828e-08,-2.433672573161124e-07,8.996466898889841e-05,-0.3396237313328292,-1.0825945991544457e-06,-4.561246758757068e-08,2.123601412305711,0.0009029096800761138
128,-0.025468090138022835,0.046482293198991526,2.123164806483212,0.2985775548636029,0.566880160813344,0.767080162202068,0.032959850787865175,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,4.942760247056125e-06,-0.334690025540541,8.792241053598975e-08,5.6980117179996385e-05,5.096798293642793e-06,-0.33468076922688406,-4.669903341884838e-09,-6.520496154428182e-09,9.390881504791358e-05,-0.3323263686035193,-9.732686843403706e-07,-3.9290921414981534e-08,2.123164806483212,0.0
136,-0.040618483629927746,0.04019893094188959,2.1223212041872994,0.2906959171186418,0.5617053373987926,0.7735424545247683,0.0401879180358622,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,4.990680561771016e-06,-0.3274857839815749,2.6418896039508753e-10,5.9418445181726247e-05,5.1365774558760075e-06,-0.3274763838153622,2.9610299888946048e-08,2.689052347174264e-08,9.791054798383435e-05,-0.325027175611515,-9.66813904679446e-07,-3.718895317606269e-08,2.1223212041872994,0.0
144,-0.05601158880974231,0.03375577433734484,2.1210284878180845,0.2826498887790875,0.5562425906760191,0.7800297895057982,0.047505243655203984,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,5.034638007061506e-06,-0.3202814900775205,-2.9896387368748454e-08,6.182574907555873e-05,5.168556638419827e-06,-0.3202718825719046,-1.633587220297572e-07,4.52630526781188e-08,0.00010197891429629645,-0.3177261929543658,-9.82345295097376e-07,-3.5726295743069887e-08,2.1210284878180845,0.0
152,-0.07177464759893908,0.02710230159726033,2.119235994964231,0.2743657491006638,0.5504335584512624,0.7865902079306211,0.054974341640210256,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,5.073726302583366e-06,-0.3130771264633966,-1.2772204028061177e-07,6.430155422322167e-05,5.19181665122723e-06,-0.3130673820951789,-5.920690891525619e-08,-7.003294763603796e-08,0.00010612042148681948,-0.31042351434674126,-1.0026374971342544e-06,-3.467280725702158e-08,2.119235994964231,0.0
160,-0.0880344076244323,0.020187737487403497,2.1168792820874622,0.2657674163291532,0.5442125904423686,0.7932681980308534,0.06265702526146946,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,5.108099649191664e-06,-0.305872781202078,9.534584273091297e-08,6.653576541143764e-05,5.206067613261473e-06,-0.30586281780994956,-1.841508891379431e-08,-2.6490277417531914e-08,0.00011033233838450298,-0.30311926203722517,-1.0232144769983448e-06,-3.3681961582972895e-08,2.1168792820874622,0.030888654135937443
