index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,box_pos_x,box_pos_y,box_pos_z,box_eul_x,box_eul_y,box_eul_z
0,0.0,1.5,3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.0008,0,0
12,-5.657173775328227e-37,1.5,3.4867257277408714,-3.910110965969202e-19,1.1707273256585696e-19,-1.4944179343682263e-37,1.0,3.3281501750969003e-37,6.254613836436996e-21,-8.619042791833881e-38,-4.4938365369035504e-35,-2.0890725378065187e-38,-1.4999297945239906e-18,-2.1344713305418607e-37,5.116939973991503e-19,5.880926707042718e-37,6.17243866813524e-19,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.010400000000000003,0,0
24,-5.30493990690211e-37,1.5,3.449003375198647,-1.858471975741868e-18,-1.7461629599782383e-19,1.094413758675983e-36,1.0,-7.824519478125232e-37,2.0882745799062175e-19,-4.917246001892799e-36,1.283953296258157e-35,-4.9101867775338385e-37,-3.618421705780825e-18,-6.26000067218992e-36,8.243579691147272e-19,-1.5912824143498454e-36,2.1987616920905645e-19,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.019999999999999997,0,0
36,8.447705421241388e-36,1.5,3.386953299553773,-3.854419287324609e-18,-1.1327125965678307e-18,6.083260751401334e-36,1.0,-5.491804874906185e-36,1.435715289750131e-19,-2.101752757398972e-35,-6.419766481290786e-35,-2.244992222407187e-37,-4.859455055510955e-18,-2.4510476796246123e-35,1.1568318850745352e-18,-1.0840639845200934e-35,9.588225019959982e-19,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.02959999999999998,0,0
48,6.095681259039685e-35,1.5,3.3007423458539797,-6.5965675716312015e-18,-2.600933194853049e-18,2.2059980712098456e-35,1.0,-3.62117466517986e-35,2.0537216825034562e-19,-7.014466128533188e-35,-1.925929944387236e-35,-5.234577177911611e-37,-5.231452917455918e-18,-6.845154039824883e-35,1.2008474642898308e-18,-5.882643526741362e-35,7.863514624355824e-19,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.0392,0,0
60,1.7804647005738805e-34,1.5,3.1905825733868602,-9.841231920966213e-18,-4.467719807610279e-18,3.4862161733352154e-35,1.0,-6.651213927082831e-35,3.1152455202367906e-19,-1.410575957377483e-34,-8.018294130276587e-51,-1.132727524159492e-36,-6.279245306848363e-18,-1.221262000098291e-34,1.7116740326947159e-18,-1.1051968617958944e-34,9.960782337660436e-19,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.048800000000000024,0,0
72,0.00030113495056562393,1.498960799225007,3.078225009101944,0.03486835550792797,-0.0013255508557494771,9.912810106857406e-05,0.9993910300141388,0.00040274600092067136,-0.007633412101305514,-0.00027700304369553623,-0.028226368829176573,-0.00024902361678451497,-0.025941976078735933,-0.00020228888039857418,0.03663578446088478,-0.00017212809127535602,0.05523954775702312,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.05840000000000005,0,0
84,0.0005443448706703378,1.4985009558456082,3.0700657090184955,0.050588782411150675,0.011884377624773445,0.0006782683463879256,0.9986486252004152,0.0005725313856227849,0.04651893618734848,-0.00037203254571319003,0.003962915400340924,-0.0002888085640753404,-0.042121026508098396,-0.0011629332320668812,0.034041939467057525,0.0010938590446966246,-0.005970428531203096,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.06800000000000003,0,0
96,0.0005464169177417729,1.4983062491668202,3.0700845983899816,0.05540231916548696,0.011936462666077641,0.0007439074341029946,0.9983924831907722,0.0005417590424213244,0.07530995540194686,-0.00042147970660432924,0.0032003565634925566,-0.00033483683128025517,-0.04472733470183906,-0.001156301336352133,0.034191486174271354,0.0010837517602928115,-0.005972740930856949,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.07759999999999997,0,0
108,0.0005252135827356552,1.4981798158075144,3.0700836083428147,0.058550396792740815,0.011406292959624245,0.000771194752982754,0.9982189903898767,0.0005284604249203993,0.07556265997862611,-0.0004521519017392617,0.0031198186367107105,-0.0003529896892298259,-0.05143445093247561,-0.001155036271510621,0.029410970661955433,0.0010822361266824769,-0.009320958000901604,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.08719999999999992,0,0
120,0.0005011069677604727,1.4980850170963371,3.0700737576704973,0.06093587901117736,0.010805530111024402,0.0007875824059887516,0.9980828817699002,0.000518526688121942,0.06652755549449786,-0.00047371268028321474,0.0038166058814518193,-0.0003653742133009636,-0.052969788084036296,-0.001156166271064395,0.022693260531412494,0.00107879033324519,-0.014460276674328608,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.09679999999999986,0,0
132,0.0004951662202118083,1.4979075496979362,3.0700970943290296,0.0652961882903424,0.010652251596213715,0.0008268025563572733,0.9978087260232874,0.0005126489889997379,0.04246044655525463,-0.0004943336791703082,0.0038021347085601337,-0.00036072965379000614,-0.05297365863780083,-0.0011561922313088994,0.021432565315285746,0.0010784783050394055,-0.015303796772451942,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.1063999999999998,0,0
144,0.0005141962901140366,1.4979884078011014,3.0701608656991666,0.07004001010622786,0.010579082630681866,0.0008822289355147283,0.9974876949953408,0.0005080303679324235,0.017615749416528426,-0.0005074886610249447,0.0036433619828754576,-0.00037464220025580555,-0.05298955844670315,-0.0011499898247367055,0.02123200404759029,0.0010819967379389556,-0.01528986229412841,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.11599999999999974,0,0
