index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
0,0.0,0.0,2.4,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0,0.0,0.0,0.0,1.0,14.126400000000004,14.126400000000004,0.0,0.0
5,4.736137965832942e-34,9.479669778952795e-37,2.397445938124821,-4.5531248084943515e-19,0.7071067811865475,-4.553124808494354e-19,0.7071067811865476,2.0165249942787772e-19,9.427926569699229e-19,9.345846844103272e-19,2.5679065925163144e-35,5.52151235800999e-20,-2.3080393383975745e-18,1.6694149183473502e-18,-1.255440473431008e-19,-6.783955490135126e-19,-6.187416229169717e-22,-4.457753252155856e-19,-0.5,0.5,0,0.0,0.0,0.0,1.0,14.111366791802704,14.111366791802704,5.2973542880582626e-36,0.0
10,2.2115809390644815e-33,7.68451973850796e-37,2.3906384505747,-6.927409973196452e-19,0.7071067811865475,-6.927409973196454e-19,0.7071067811865476,9.536472352015631e-19,-2.903746781137842e-19,3.2051242365067304e-18,-1.7975346147614202e-34,1.844327136406651e-18,-3.4024739894444978e-18,-1.7704335504860503e-18,-7.534220690553685e-22,-5.3354884424366195e-19,1.76411954885e-21,-1.0499375667931357e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,14.071297920082685,14.071297920082685,1.5383217804539456e-35,0.0
15,5.676726225207617e-33,2.1380244006311394e-36,2.3795832500967324,-4.81551358902467e-19,0.7071067811865475,-4.815513589024666e-19,0.7071067811865476,1.3943442546225837e-18,-1.009971770653311e-18,4.707559395110304e-18,-2.311115933264683e-34,2.6429673799745238e-18,-5.1715988199199396e-18,-3.1409103851899437e-18,-1.6946167706691947e-18,-4.2658341766484635e-19,3.096698984727207e-21,-2.4650938678166097e-19,-0.5,0.5,0,0.0,0.0,0.0,1.0,14.006227010069368,14.006227010069368,3.591792959449181e-35,0.0
20,1.1060409696819268e-32,1.121399004368773e-35,2.3642874835597505,1.0841551620444079e-19,0.7071067811865475,1.0841551620444198e-19,0.7071067811865476,2.5245341145424092e-18,-1.7083797824122477e-18,4.885458292393113e-18,-2.0543252740130515e-34,2.2716030511168493e-18,-6.713167223323828e-18,-4.26782805198706e-18,-4.215564370248826e-18,4.0779091810477396e-19,4.363602123820574e-21,6.061358389961346e-19,-0.5,0.5,0,0.0,0.0,0.0,1.0,13.916196128232691,13.916196128232691,5.995269183178775e-35,0.0
25,1.7360155977844476e-32,4.394639591046691e-35,2.3447597224136487,1.0360993678054261e-18,0.7071067811865475,1.0360993678054284e-18,0.7071067811865476,3.583694503921823e-18,-2.9035335281936867e-18,5.414048073890699e-18,-1.5407439555097888e-34,1.930227756735089e-18,-9.08583104184823e-18,-7.64889288000919e-18,-5.081409167534241e-18,1.1043858198526724e-18,7.065772521509107e-21,1.5511460553342428e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,13.80125572612674,13.80125572612674,1.1240772408701783e-34,0.0
30,2.487326795658327e-32,1.074673419225126e-34,2.3210099512480715,3.2765306997598647e-18,0.7071067811865475,3.276530699759868e-18,0.7071067811865476,4.741424187289043e-18,-6.194074851248948e-18,5.2481187439436655e-18,-1.0691058840368783e-50,8.939403080346838e-19,-1.1566964502257914e-17,-8.834704146236425e-18,-1.0282556124029623e-17,3.257004220895763e-18,8.75242797128122e-21,2.8662045691682197e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,13.661464573046148,13.661464573046148,2.12795226767818e-34,0.0
35,3.3906066372838505e-32,1.7840674246819102e-34,2.293049554482896,6.183445196254196e-18,0.7071067811865475,6.183445196254199e-18,0.7071067811865476,6.657192894293011e-18,-1.2530452988721966e-17,6.150071033777045e-18,2.054325274013051e-34,2.484039337272068e-19,-1.5820431223872742e-17,-1.2216764416720032e-17,-1.182209278976276e-17,4.922479736664051e-18,1.1775009306299534e-20,4.327516601957057e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,13.496889677686328,13.496889677686328,4.107355738854012e-34,0.0
40,4.375011235182738e-32,3.089096240578617e-34,2.2608913012281473,9.147526278651057e-18,0.7071067811865475,9.14752627865106e-18,0.7071067811865476,8.367901189326153e-18,-1.710659703211032e-17,5.263991360435746e-18,5.135813185032628e-34,-1.5885064084815404e-18,-1.8634269963242288e-17,-1.7258479337596797e-17,-1.0668466416499227e-17,5.0432662633452746e-18,1.548702905280277e-20,4.687825137827061e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,13.307606199028875,13.307606199028875,5.996040853744952e-34,0.0
45,5.414200544539709e-32,5.537087720747304e-34,2.2245493283559834,1.234812659108813e-17,0.7071067811865475,1.2348126591088134e-17,0.7071067811865476,1.0051171752499597e-17,-2.142392002479901e-17,2.9402164888811323e-18,1.283953296258157e-33,-4.7241915944674525e-18,-2.1239510219996768e-17,-1.809183121970604e-17,-1.2592374853360262e-17,4.773317872245398e-18,1.64986299305511e-20,4.4030737735083025e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,13.093697346703324,13.093697346703324,7.85072106067208e-34,0.0
